"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g24",414.256413021089,0.80221861934185,0.653668484185536,1.22725607666615,0.219726358728739,0.393297180564754
"g25",4008.32711478486,0.87548753713148,0.64608741932682,1.35506049327455,0.175398284371943,0.337833354418255
"g26",451.029488477015,-0.995623577397878,0.65305766171943,-1.52455692009877,0.127369649448162,0.281482257053423
"g27",308.156687832981,-0.569921096803979,0.655892296082824,-0.868924822272971,0.384888251641117,0.560202226727047
"g28",63.627401692326,1.79893461786905,0.716501264174743,2.51072078699127,0.0120484952093113,0.0537297759334152
"g29",2372.89876679089,-0.287090170331119,0.646558910815567,-0.444027861233842,0.657022440632132,0.78365446617502
"g30",0,NA,NA,NA,NA,NA
"g31",0,NA,NA,NA,NA,NA
"g32",458.005397218745,-0.908345545291622,0.652802245421383,-1.39145591434859,0.164087219276717,0.322940976276827
"g33",1.57819068166112,-4.1742520876459,2.29624622305941,-1.81785909791691,0.0690856712339172,0.183587837905651
"g34",1035.21985654685,-0.644115278206456,0.64842617206076,-0.993351758395865,0.320538562351712,0.498490246082879
"g35",29.0374478826335,-0.146616589275259,0.748208373199715,-0.195956894532271,0.844643905006314,0.910890485791122
"g36",0,NA,NA,NA,NA,NA
"g37",18.2619975975108,2.94084336546566,0.998914175074916,2.94404007756233,0.00323958045786509,0.0204858197808319
"g38",0,NA,NA,NA,NA,NA
"g39",1798.98755948937,-1.11976226035321,0.647230040081795,-1.730083882095,0.0836152894993487,0.210119988370078
"g40",96.3427336537151,-0.891686710358855,0.680498959887266,-1.31034250295779,0.190079995050468,0.359343407584595
"g41",9393.42662893901,-3.07252286741075,0.646061071990868,-4.75577774395634,1.97683865439956e-06,5.97993692955866e-05
"g42",764.177745819612,0.1364320937596,0.649425167944495,0.21008131574485,0.833604207959169,0.905983016434666
"g43",0,NA,NA,NA,NA,NA
"g44",51.1366782710095,2.45428595500192,0.760199359463133,3.22847674685649,0.00124451376221749,0.0104573725852997
"g45",153.6419476295,0.622603029718959,0.667076762353634,0.93333041241347,0.35064939735581,0.526844914073506
"g46",1938.01897591498,0.397237825690764,0.646900543505501,0.614063212156484,0.539173556808541,0.68915493352641
"g47",1813.26491566473,-0.623233598297523,0.647035518155967,-0.96321388982435,0.335440196059338,0.513342289922174
"g48",3.42826584982741,1.17530918195383,1.36865702997779,0.858731702837852,0.390488555419988,0.563831923697118
"g49",138.867635418842,-2.20772683154532,0.682562198849961,-3.23446981867014,0.00121868800403798,0.0102879940805997
"g50",3301.630302695,-6.8188057889633,0.671363269219203,-10.1566560185719,3.09510364778356e-24,1.87253770690905e-21
"g51",24.7935285732906,-2.26209227895985,0.837200242641253,-2.7019727942544,0.00689294022284239,0.0362905946542278
"g52",3037.60194427361,-0.0658643884555117,0.646254329146812,-0.101917133061942,0.91882245055915,0.953494995863269
"g53",5.70273294892799,5.88100118557729,2.17999450991375,2.69771375975161,0.00698174445529219,0.0366238907120096
"g54",629.146267255586,-1.52155310823194,0.651694522037464,-2.33476430563654,0.0195557368356463,0.076166657417807
"g55",3.80182196595199,5.29604100967454,2.19979505496391,2.40751564457054,0.0160614740316819,0.0650735051411106
"g56",0.950455491487998,3.29604811023646,2.37056909796141,1.39040372755678,0.164406315195475,0.322940976276827
"g57",87.2448652573128,-1.70903557598319,0.693589145037432,-2.4640460252459,0.0137378469494181,0.0592261097700566
"g58",485.838210535842,-0.836432843874026,0.652273317097155,-1.28233490769858,0.199725187509698,0.372177839147949
"g59",1303.75894371712,0.13320475164544,0.647676367939956,0.205665604365218,0.837052127892335,0.907746036627179
"g60",6067.84453069635,3.34874532864717,0.6468934672668,5.17665658736053,2.25897464710095e-07,1.05129204730467e-05
"g61",665.903251203129,0.449984506467871,0.650181921399053,0.692090154551822,0.488880714164528,0.652187152048822
"g62",574.152370358694,-2.49524577822435,0.655709314381235,-3.80541456937974,0.00014156687221801,0.00184851707248697
"g63",714.983154688123,-1.50488524427064,0.650887071482446,-2.31205275109113,0.0207747764918755,0.078429956040622
"g64",4.95562071667882,0.438345396784017,1.13291968097472,0.386916569766784,0.698817973828589,0.811943129149578
"g65",167.288750224104,1.06170025531385,0.667252597402737,1.5911519257422,0.111575388983525,0.2569915368085
"g66",733.42784319137,1.15044256303556,0.650412472198927,1.76878921024704,0.076929058035766,0.199558905389083
"g67",39.5941299186209,0.513896595748931,0.725183429201164,0.70864359975106,0.478545672770474,0.644209976983038
"g68",608.782833806445,-0.287071392513109,0.650502245338391,-0.441307304579363,0.658990538676471,0.784259947666213
"g69",396.11781534275,-0.452055948923189,0.653430243731132,-0.691819751626307,0.489050531095563,0.652187152048822
"g70",609.695060082435,-1.77567030075895,0.652511186320128,-2.72128714110318,0.00650282493383983,0.0346118101317281
"g71",1152.17041451503,0.0661133740852565,0.647994665256016,0.102027651815831,0.918734726632373,0.953494995863269
"g72",31.1594075373049,0.55382273184723,0.74589893704684,0.74249030845911,0.457790321552292,0.626613449183567
"g73",878.599786165103,-2.31705854037506,0.651540851813962,-3.55627514978395,0.000376150126550232,0.00418842012078939
"g74",4349.61091991085,0.913746287459426,0.646024341273609,1.41441464211397,0.157240193445358,0.319611109732532
"g75",9686.67796830554,-2.08127996153538,0.645714596138205,-3.22321962982221,0.00126758321322212,0.0106021360921574
"g76",633.843686021121,-0.605303416205801,0.650438962538686,-0.930607560536165,0.352056602156864,0.528521698027054
"g77",52.7148689526706,2.19125174511427,0.744833423603671,2.94193530482628,0.00326168061155192,0.0204858197808319
"g78",2096.7227767359,0.49392384463466,0.646790319464916,0.763653737185304,0.445073616787279,0.614770635060054
"g79",377.37884754496,0.956068936569833,0.654809608322611,1.46007163672955,0.144270386818434,0.302770927336799
"g80",169.980767986458,-0.403391621981183,0.664153969052091,-0.607376663813244,0.543600971648832,0.691818564737882
"g81",24.1834987955741,-0.50918645216993,0.769723035050821,-0.661519051636946,0.508279500844631,0.665124220643839
"g82",0.950455491487998,3.29604811023646,2.37056909796141,1.39040372755678,0.164406315195475,0.322940976276827
"g83",4.63290041536395,-1.95396808979245,1.32449567380496,-1.47525441451928,0.140144157060759,0.296604991916321
"g84",4298.98608469701,0.609130019671755,0.645985663741583,0.942946653248685,0.345708190250086,0.522013615061486
"g85",318.740196971666,0.698601853435285,0.655971755618946,1.06498770328322,0.286881494408531,0.462835477645763
"g86",55.754153696477,5.10130520149963,1.06222192939896,4.80248530021038,1.56708326903665e-06,4.82077310729072e-05
"g87",337.315793180251,-0.210937121726257,0.654713819391753,-0.322182174071449,0.747314688125978,0.851460237883647
"g88",110.038091640568,-0.894228881125694,0.676219927648356,-1.32239356541221,0.186037130420313,0.354682134152172
"g89",0,NA,NA,NA,NA,NA
"g90",18.7526503331513,-0.862823146855982,0.809590233130303,-1.06575290998738,0.286535352890058,0.462688314497737
"g91",18210.7364768703,-0.327891216377431,0.645371119214006,-0.508066144603385,0.611406956959662,0.750306711887617
"g92",0,NA,NA,NA,NA,NA
"g93",0,NA,NA,NA,NA,NA
"g94",98.1573979969681,-1.42672370208826,0.684649366581061,-2.08387500482604,0.037171538489342,0.121490445429839
"g95",7.85782300595253,0.990885955232807,1.0108216416345,0.980277740819386,0.326949039173267,0.505462100595809
"g96",592.814751175027,-1.3413025408914,0.651725042247983,-2.05808040805808,0.0395824153769234,0.125818010348714
"g97",1948.09520284162,1.37396121139582,0.64729883877675,2.12260725508531,0.033786776499745,0.111390768978274
"g98",48.1128185170996,-0.206737514619504,0.709249300864214,-0.291487794725488,0.770678277210916,0.866118311540442
"g99",1342.41804313415,0.0993379983918534,0.647601267148033,0.153393767787589,0.87808775931135,0.927389285940334
"g100",0,NA,NA,NA,NA,NA
"g101",1184.19175048154,-0.0345528751230999,0.647913203130139,-0.0533294814122805,0.957469390847212,0.973561313382459
"g102",63.7976145492117,2.25548055914848,0.730846749058456,3.0861197125857,0.00202787160089528,0.0149739035612466
"g103",1366.71635812668,-0.0199824180483941,0.647550894502629,-0.0308584517727247,0.975382424812154,0.984115459431598
"g104",1092.79672034077,-1.51186784851296,0.648932224044937,-2.32977773717132,0.019817901411383,0.0763683462031
"g105",2737.17081493809,-2.12361760148579,0.647071350779965,-3.2818909366425,0.00103113479120688,0.00912931534653894
"g106",6414.91324500154,-0.994967208983226,0.64574854947409,-1.54079666116718,0.123366282315556,0.275411811073474
"g107",52.5800669206981,3.96885752190941,0.884974452632689,4.48471423113126,7.30117186012668e-06,0.000169892652899102
"g108",57.2306727485187,4.71135995654395,0.977013466588974,4.82220575013426,1.41979382331489e-06,4.44297549882159e-05
"g109",33.4847104512152,0.821674006920245,0.743653165888471,1.10491563084864,0.269196148757473,0.447837772680856
"g110",3135.53936953493,0.307291281175164,0.646239158813561,0.475507058005158,0.634425603744316,0.768944354445506
"g111",0.950455491487998,3.29604811023646,2.37056909796141,1.39040372755678,0.164406315195475,0.322940976276827
"g112",0,NA,NA,NA,NA,NA
"g113",0,NA,NA,NA,NA,NA
"g114",0,NA,NA,NA,NA,NA
"g115",2.85136647446399,4.8810050904053,2.2194189561099,2.19922654844784,0.0278618174939238,0.0961391611244708
"g116",0,NA,NA,NA,NA,NA
"g117",7286.70174603298,1.91195971118765,0.645879954886999,2.96024005191826,0.00307399416486737,0.0198551580399797
"g118",102.540680183404,0.461615518535281,0.676983598890619,0.681871051664672,0.495320491574947,0.658130814208293
"g119",361.158866262054,-0.335499218909801,0.654142400398654,-0.512884073414806,0.608032414855486,0.747682136153595
"g120",1675.30548364479,-0.707312142547476,0.64721065932869,-1.09286231979109,0.274454254371563,0.452849519713079
"g121",641.310247498492,-0.642175001697999,0.650403047380909,-0.987349312528526,0.323471423822652,0.501795413878729
"g122",1137.31441650977,-0.138995961648201,0.648026053198707,-0.214491317072989,0.830163937383215,0.905207428517028
